timestamp,wind_speed,regime_bin,score,p_value,exceed,work_order_alarm,frozen
2022-12-01 22:50:00,14.412,bin4_ge_12,4.167290637,,,0,0
2022-12-01 23:00:00,13.516,bin4_ge_12,4.117084035,,,0,0
2022-12-01 23:10:00,14.288,bin4_ge_12,4.041440843,,,0,0
2022-12-01 23:20:00,14.038,bin4_ge_12,3.994917164,,,0,0
2022-12-01 23:30:00,13.906,bin4_ge_12,3.920398849,,,0,0
2022-12-01 23:40:00,12.978,bin4_ge_12,3.880353302,,,0,0
2022-12-01 23:50:00,13.199,bin4_ge_12,3.778409429,,,0,0
2022-12-02 00:00:00,12.775,bin4_ge_12,3.708002108,,,0,0
2022-12-02 00:10:00,12.65,bin4_ge_12,3.629619881,,,0,0
2022-12-02 00:20:00,12.066,bin4_ge_12,3.606026498,,,0,0
2022-12-02 00:30:00,11.002,bin3_8_12,3.627339711,,,0,0
2022-12-02 00:40:00,10.079,bin3_8_12,3.634747435,,,0,0
2022-12-02 00:50:00,10.353,bin3_8_12,3.60858855,,,0,0
2022-12-02 01:00:00,9.629,bin3_8_12,3.52166978,,,0,0
2022-12-02 01:10:00,9.449,bin3_8_12,3.459072006,,,0,0
2022-12-02 01:20:00,9.226,bin3_8_12,3.443312145,,,0,0
2022-12-02 01:30:00,8.004,bin3_8_12,3.601381375,,,0,0
2022-12-02 01:40:00,8.987,bin3_8_12,3.620442159,,,0,0
2022-12-02 01:50:00,8.568,bin3_8_12,3.435531846,,,0,0
2022-12-02 02:00:00,8.951,bin3_8_12,3.508995567,,,0,0
2022-12-02 02:10:00,9.716,bin3_8_12,4.106386813,,,0,0
2022-12-02 02:20:00,9.474,bin3_8_12,3.740728762,,,0,0
2022-12-02 02:30:00,8.078,bin3_8_12,3.011568129,,,0,0
2022-12-02 02:40:00,7.442,bin2_4_8,2.917484502,,,0,0
2022-12-02 02:50:00,7.75,bin2_4_8,2.815236682,,,0,0
2022-12-02 03:00:00,8.218,bin3_8_12,2.917011807,,,0,0
2022-12-02 03:10:00,7.515,bin2_4_8,2.787543795,,,0,0
2022-12-02 03:20:00,7.61,bin2_4_8,2.68182921,,,0,0
2022-12-02 03:30:00,6.439,bin2_4_8,2.611873734,,,0,0
2022-12-02 03:40:00,5.062,bin2_4_8,3.052727557,,,0,0
2022-12-02 03:50:00,5.079,bin2_4_8,3.179329266,,,0,0
2022-12-02 04:00:00,5.363,bin2_4_8,2.718913908,,,0,0
2022-12-02 04:10:00,5.268,bin2_4_8,2.569466135,,,0,0
2022-12-02 04:20:00,5.284,bin2_4_8,3.16787912,,,0,0
2022-12-02 04:30:00,5.072,bin2_4_8,2.884901936,,,0,0
2022-12-02 04:40:00,5.285,bin2_4_8,2.556669595,,,0,0
2022-12-02 04:50:00,5.256,bin2_4_8,2.614576178,,,0,0
2022-12-02 05:00:00,6.059,bin2_4_8,2.270961804,,,0,0
2022-12-02 05:10:00,6.736,bin2_4_8,2.308975748,,,0,0
2022-12-02 05:20:00,7.569,bin2_4_8,2.278378995,,,0,0
2022-12-02 05:30:00,8.617,bin3_8_12,2.605622209,,,0,0
2022-12-02 05:40:00,8.281,bin3_8_12,2.816310756,,,0,0
2022-12-02 05:50:00,4.67,bin2_4_8,2.719870407,,,0,0
2022-12-02 06:00:00,4.783,bin2_4_8,2.704747364,,,0,0
2022-12-02 06:10:00,4.015,bin2_4_8,2.94131452,,,0,0
2022-12-02 06:20:00,3.487,bin1_lt_4,3.126021065,,,0,0
2022-12-02 06:30:00,3.565,bin1_lt_4,3.087789967,,,0,0
2022-12-02 06:40:00,4.178,bin2_4_8,3.043168802,,,0,0
2022-12-02 06:50:00,4.45,bin2_4_8,3.002250757,,,0,0
2022-12-02 07:00:00,6.435,bin2_4_8,2.163655317,,,0,0
2022-12-02 07:10:00,9.058,bin3_8_12,2.710381536,,,0,0
2022-12-02 07:20:00,10.016,bin3_8_12,3.322789565,,,0,0
2022-12-02 07:30:00,6.222,bin2_4_8,2.338814781,,,0,0
2022-12-02 07:40:00,7.469,bin2_4_8,2.186875711,,,0,0
2022-12-02 07:50:00,6.105,bin2_4_8,2.284257048,,,0,0
2022-12-02 08:00:00,8.083,bin3_8_12,2.21372905,,,0,0
2022-12-02 08:10:00,8.646,bin3_8_12,2.478005694,,,0,0
2022-12-02 08:20:00,8.695,bin3_8_12,2.46047322,,,0,0
2022-12-02 08:30:00,9.927,bin3_8_12,3.463276692,,,0,0
2022-12-02 08:40:00,9.081,bin3_8_12,2.725180219,,,0,0
2022-12-02 08:50:00,9.314,bin3_8_12,2.660213497,,,0,0
2022-12-02 09:00:00,8.478,bin3_8_12,2.328254519,,,0,0
2022-12-02 09:10:00,9.138,bin3_8_12,3.029334938,,,0,0
2022-12-02 09:20:00,10.366,bin3_8_12,3.865980821,,,0,0
2022-12-02 09:30:00,9.409,bin3_8_12,3.041321078,,,0,0
2022-12-02 09:40:00,7.382,bin2_4_8,2.133258523,,,0,0
2022-12-02 09:50:00,6.648,bin2_4_8,2.218103887,,,0,0
2022-12-02 10:00:00,6.958,bin2_4_8,2.147192253,,,0,0
